,job_id,job_title,company,state,district,location_desc,category,role,min_salary,max_salary,type_salary,date
1,74660602,Account Executive/ Assistant,Acoustic & Lighting System Sdn. Bhd.,10,1007,petaling,00,executive-assistant,2800.0,3200.0,monthly,2024-03-22
3,74657624,Service Engineer,Sun Medical Systems Sdn. Bhd.,10,1007,petaling,11,services-engineer,3000.0,3500.0,monthly,2024-03-22
4,74679363,Purchasing Executive,Magnet Security & Automation Sdn. Bhd.,10,1002,hulu langat,20,purchasing-executive,2800.0,3500.0,monthly,2024-03-23
6,74677110,Accounts Executive,Genetec Technology Berhad,10,10,kajang/bangi/serdang,00,accounts-executive,3000.0,4500.0,monthly,2024-03-23
9,74602737,Admin Assistant,Lein Hing Holdings Sdn. Bhd.,14,,kuala lumpur,01,administration-officer,2000.0,3000.0,monthly,2024-03-20
10,74677668,Clerical Assistant (Educational Centre),Agensi Pekerjaan Js Staffing Services Sdn. Bhd.,14,14,bangsar south,01,clerical-assistant,3000.0,3200.0,monthly,2024-03-23
12,74664838,Purchasing Assistant,Otc Cosmetic Industries Sdn. Bhd.,10,,kuala selangor district,20,purchasing-assistant,1600.0,2000.0,monthly,2024-03-22
14,74661211,Accounts Executive,Binastra Land Sdn. Bhd.,14,14,bukit jalil,00,accounts-executive,3500.0,4000.0,monthly,2024-03-22
15,74654698,HR & Admin Executive,Mazone Service,07,,penang island,16,Human-Resources-and-Administration-Executive,3000.0,4000.0,monthly,2024-03-22
18,74667994,Key Account Executive (Chemistry/Oil & Gas),Chemopharm Sdn. Bhd.,13,,sarawak,25,Key-Account-Executive,3500.0,5000.0,monthly,2024-03-22
19,74673679,Operations Engineer,Direct Access Solutions Sdn. Bhd.,14,,kuala lumpur,17,operations-engineer,5000.0,7000.0,monthly,2024-03-22
21,74677606,Invoicing Assistant,Sungil Tech Sdn. Bhd.,10,,selangor,01,Invoicing-Assistant,2500.0,3000.0,monthly,2024-03-23
22,74658688,Account cum Admin Executive,Dessert Captain Sdn. Bhd.,10,10,shah alam/subang,00,Accounts-and-Administration-Executive,2800.0,3500.0,monthly,2024-03-22
23,74676877,Software QA Analyst (Manual Testing),Mode Fair Sdn. Bhd.,14,,kuala lumpur,17,software-quality-assurance-analyst,4000.0,6000.0,monthly,2024-03-23
